CSP,Leg 1,Leg 2,Leg 3,Leg 4,Leg 5
AWS,21.714000000000002,41.579,718.961,89.985,80.911
AWS,24.127,53.725,700.296,85.638,82.58500000000001
AWS,17.305999999999997,124.99300000000001,692.682,79.013,508.308
AWS,18.311999999999998,43.038,678.32,80.251,79.217
AWS,20.612,40.741,702.031,144.204,134.868
AWS,27.204,43.129,690.608,87.30300000000001,104.411
AWS,20.962999999999997,48.025,701.585,80.227,101.188
AWS,20.647,46.080000000000005,704.832,74.098,85.397
AWS,19.654,42.772,679.7149999999999,101.107,91.53
AWS,20.755,58.590999999999994,705.638,76.271,83.471
AWS,25.796,43.741,682.219,83.575,82.828
AWS,20.428,50.105,675.721,152.67600000000002,86.18299999999999
AWS,19.557000000000002,49.425,664.235,79.592,83.231
AWS,29.563,44.323,710.932,82.119,132.882
AWS,17.631,83.053,700.305,526.864,82.802
AWS,20.264999999999997,44.307,714.985,83.27900000000001,85.462
AWS,18.134999999999998,49.542,706.7639999999999,77.531,98.283
AWS,19.833,49.824,693.1310000000001,97.104,146.34900000000002
AWS,22.467000000000002,42.082,684.751,94.935,85.008
AWS,19.717,42.775,692.0039999999999,116.775,154.815
AWS,19.947,46.763,691.394,81.30999999999999,93.57300000000001
AWS,22.223,51.448,696.978,177.567,86.9
AWS,28.512,88.313,678.3979999999999,82.485,80.56
AWS,21.756,43.369,690.105,89.845,82.791
AWS,18.367,49.031,693.168,90.073,70.265
AWS,26.526999999999997,77.046,680.278,116.533,143.352
AWS,20.921,94.861,688.3470000000001,81.79599999999999,124.722
AWS,30.654,42.879,682.177,80.83500000000001,74.47
AWS,21.410999999999998,62.267,712.3009999999999,136.16,97.93599999999999
AWS,18.751,54.155,695.079,143.519,126.29899999999999
AWS,26.394000000000002,43.76,795.389,84.292,80.946
AWS,25.881,536.241,697.966,112.0,74.96
AWS,19.7,87.741,706.333,84.395,75.389
AWS,19.720000000000002,41.425999999999995,711.7320000000001,117.68599999999999,85.038
AWS,21.89,60.104,681.8499999999999,85.236,85.927
AWS,21.837,50.488,712.5219999999999,84.751,81.851
AWS,18.39,49.831,702.415,83.60900000000001,79.415
AWS,28.358,48.139,708.0070000000001,83.065,88.588
AWS,22.932000000000002,40.061,713.372,74.6,176.077
AWS,25.492,43.359,702.1460000000001,100.009,83.07199999999999
AWS,25.222,50.342,702.746,85.929,92.58800000000001
AWS,23.178,151.72299999999998,682.736,558.7769999999999,73.458
AWS,22.988000000000003,49.785000000000004,794.726,86.055,76.528
AWS,20.875,47.881,681.23,92.675,90.694
AWS,33.938,47.07299999999999,681.879,91.694,94.33999999999999
AWS,35.698,50.444,694.425,83.979,85.809
AWS,21.080000000000002,46.692,689.384,104.754,103.434
AWS,19.393,49.001999999999995,685.56,78.7,81.947
AWS,19.656,53.481,713.414,164.21,81.856
AWS,21.099,192.436,664.99,96.484,88.601
AWS,18.136,44.132999999999996,688.972,83.53099999999999,87.18900000000001
AWS,31.121,40.300000000000004,693.6179999999999,112.035,94.983
AWS,22.332,53.226,680.273,117.851,92.038
AWS,22.005,47.628,696.1500000000001,140.45,84.127
AWS,29.411,70.223,789.341,68.741,74.488
AWS,24.983999999999998,40.504,684.014,77.30099999999999,92.057
AWS,29.491,104.78,689.1899999999999,85.748,556.2289999999999
AWS,19.057000000000002,47.504,709.2270000000001,84.809,188.138
AWS,19.924,43.269000000000005,710.797,93.74499999999999,82.3
AWS,19.749,40.602,693.384,78.958,88.727
AWS,22.033,43.525,698.048,136.502,81.055
AWS,18.584,47.218,710.5350000000001,76.31,69.20700000000001
AWS,22.214000000000002,61.203,712.5160000000001,94.286,104.14099999999999
AWS,19.684,65.031,690.331,139.298,94.367
AWS,19.341,45.064,695.9499999999999,76.53500000000001,86.283
AWS,24.91,84.023,691.319,95.933,84.825
AWS,31.808000000000003,44.187999999999995,795.0070000000001,80.11699999999999,90.23599999999999
AWS,23.357,46.112,701.77,76.797,88.256
AWS,20.809,41.75,707.9720000000001,80.57400000000001,138.39499999999998
AWS,20.111,50.396,694.197,82.361,83.94699999999999
AWS,19.148,48.135,710.307,84.824,87.357
AWS,24.388,44.32,712.8109999999999,90.117,86.992
AWS,18.822,44.977999999999994,783.981,120.512,87.306
AWS,20.721,43.232,688.318,124.529,87.645
AWS,24.980999999999998,57.221000000000004,729.178,548.111,77.096
AWS,21.488,47.476,802.258,86.872,155.792
AWS,35.089,50.429,712.222,140.423,83.86399999999999
AWS,25.395,142.998,692.297,70.512,86.596
AWS,26.393,51.752,688.334,82.44200000000001,87.65100000000001
AWS,20.779,46.07,679.841,95.958,86.275
AWS,17.853,51.13,678.13,70.842,73.77
AWS,20.728,56.025,710.7909999999999,91.37,79.08900000000001
AWS,23.399,43.74,712.6360000000001,82.053,136.956
AWS,21.866,48.043,688.874,91.229,225.826
AWS,29.805000000000003,41.62,711.853,91.269,140.27200000000002
AWS,18.802,49.440999999999995,699.647,84.59800000000001,94.254
AWS,20.167,44.69,711.204,84.07000000000001,125.57199999999999
AWS,65.588,54.78,710.911,98.733,100.652
AWS,32.260999999999996,47.827,713.453,136.358,528.2
AWS,21.703,40.315999999999995,712.851,88.253,82.258
AWS,28.269,48.755,676.2510000000001,83.97699999999999,82.44200000000001
AWS,28.701999999999998,49.235,707.335,135.13400000000001,128.328
AWS,20.639,41.895,699.791,87.92,99.434
AWS,21.981,49.158,721.3230000000001,148.46200000000002,98.433
