,Leg 1,Leg 1,Leg 1,Leg 1,Leg 1,Leg 2,Leg 2,Leg 2,Leg 2,Leg 2,Leg 3,Leg 3,Leg 3,Leg 3,Leg 3,Leg 4,Leg 4,Leg 4,Leg 4,Leg 4,Leg 5,Leg 5,Leg 5,Leg 5,Leg 5
,mean,median,std,min,max,mean,median,std,min,max,mean,median,std,min,max,mean,median,std,min,max,mean,median,std,min,max
CSP,,,,,,,,,,,,,,,,,,,,,,,,,
AWS,23.611745,21.689,7.079335201052697,15.777,136.03,63.2736,47.894000000000005,79.43577620170123,39.424,1173.619,705.044725,697.594,29.76574153870057,630.421,822.803,103.55848399999999,85.894,68.27155623787175,66.13900000000001,611.9449999999999,109.586023,87.6525,80.96080996556766,63.11,737.701
IBM,74.830701,72.4335,11.377276923490644,64.402,219.076,,,,,,,,,,,98.478058,87.178,38.98675210715175,65.57300000000001,778.712,109.65485799999999,87.4315,90.91903127375254,63.269000000000005,1332.78
